"","Category","Species","Taxon","Order","Body.Mass..g.","LCT...C.","UCT...C.","Note.on.UCT.","TNZ...C.","Latitudinal.center...N.","Longitudinal.center...W.","Maximum.temperature","Minimum.temperature","Latitudinal.range","Range.size..Grid...","Latitudinal.maximum.....","Latitudinal.minimum.....","Elevation.maximum..meters.","Elevation.minimum..meters.","References"
"31","Birds","Hemiphaga novaeseelandiae","Columbidae","Columbiformes",435.6,20,30,NA,10,-40.92,172.54,24.7,-4.38,12.65,162,47.25,34.6,1100,0,"McNab 2000"
"32","Birds","Leucosarcia melanoleuca","Columbidae","Columbiformes",468,24,36,"1a",12,-29.42,149.33,34.1,-3.3,19.04,273,38.94,19.9,1800,0,"McNab 2000"
"33","Birds","Ptilinopus melanospilus","Columbidae","Columbiformes",98,30,35,NA,5,0.64,117.92,34.37,13.73,21.69,379,11.49,0,1650,0,"Schleucher and Withers 2002, McNab 2000"
"34","Birds","Ptilinopus perlatus","Columbidae","Columbiformes",196,24,32,"1a",8,-5.26,140.82,32.73,6.93,10.53,405,10.59,0,1120,0,"McNab 2000"
"35","Birds","Ptilinopus superbus","Columbidae","Columbiformes",120.4,26,30,"2",4,-26.08,140.43,32.73,1,57.59,773,54.87,0,1600,0,"Schleucher 1999"
"36","Birds","Dacelo novaeguineae","Alcedinidae","Coraciiformes",336,20,35,"2",15,-26.84,144.46,38.2,-3.3,33.26,1299,43.47,10.21,NA,NA,"Buttemer et al., 2003"
"37","Birds","Aceros plicatus","Bucerotidae","Coraciiformes",1965,16,35,"1a",19,-3.94,144.27,32.73,7.24,13.31,530,10.59,0,1800,0,"McNab 2001"
"38","Birds","Bycanistes bucinator","Bucerotidae","Coraciiformes",721,24,30,NA,6,-16.48,28.18,37.37,-1.11,35.37,1813,34.17,0,2200,0,"Harji 2002"
"39","Birds","Phoeniculus purpureus","Phoeniculidae","Coraciiformes",72.19,23.1,35,"1a",11.9,-8.44,12.31,42.47,-3.53,51.46,5263,34.17,0,2000,0,"Boix-Hinzen and Lovegrove 1998, Williams et al., 1991"
"40","Birds","Todus mexicanus","Todidae","Coraciiformes",6.3,29,32,NA,3,18.27,-66.58,32.2,16.36,0.39,7,18.46,18.07,NA,NA,"Merola-Zwartjes and David 2000"
"41","Birds","Guira guira","Cuculidae","Cuculiformes",140,27,33,"1a",6,-21.41,-52.32,36.43,-6.89,45.97,3443,44.4,0,1200,0,"Simone 2003"
"42","Birds","Daptrius ater","Falconidae","Falconiformes",362,19.5,35,NA,15.5,-3.6,-61.57,36.06,-5.05,27.88,2883,17.55,0,890,0,"Wasser 1986"
"43","Birds","Falco rupicoloides","Falconidae","Falconiformes",214,15,33,NA,18,-8.44,28.9,41.8,-3.58,51.46,1549,34.17,0,2150,0,"Bush et al., 2008"
"44","Birds","Leipoa ocellata","Megapodiidae","Galliformes",1390,22,37,NA,15,-31.33,132.33,38.78,0.66,11.71,462,37.19,25.48,NA,NA,"Booth 1989"
"45","Birds","Callipepla gambelii","Odontophoridae","Galliformes",125.5,34,42,NA,8,34.95,-110.21,41.81,-19.05,21.09,335,45.5,24.41,NA,NA,"Weathers 1981, Goldstein and Nagy 1985"
"46","Birds","Alectoris chukar","Phasianidae","Galliformes",475,24,39,NA,15,4.59,97.73,46.33,-39.18,99.85,4666,54.52,0,4500,0,"Marder and Bernstein 1983"
"47","Birds","Coturnix chinensis","Phasianidae","Galliformes",44.9,27,35,NA,8,-5.26,70.23,42.89,-6.97,68.26,7042,39.39,0,NA,NA,"Roberts and Baudinette 1986; Prinzinger et al.,1993"
"48","Birds","Coturnix pectoralis","Phasianidae","Galliformes",95.8,27,35,NA,8,-28.92,133.46,41.61,-3.3,28.18,2729,43.01,14.83,NA,NA,"Roberts and Baudinette 1986"
"49","Birds","Lagopus leucura","Phasianidae","Galliformes",326,6,38,NA,32,51.57,-129.49,34,-35.96,32.8,845,67.97,35.17,NA,NA,"Johnson 1968"
"50","Birds","Lagopus muta","Phasianidae","Galliformes",465,-8.7,22,"1b",30.7,58.05,0.02,33.38,-53.55,46.62,5016,81.37,34.74,NA,NA,"Mortensen and Blix 1986"
"51","Birds","Syrmaticus humiae","Phasianidae","Galliformes",398.83,24.5,29.2,NA,4.7,23.45,99.9,34.58,-3.49,8.4,231,27.65,19.25,3000,740,"Ying et al., 2011"
"52","Birds","Syrmaticus ellioti","Phasianidae","Galliformes",388.25,23,31.6,NA,8.6,27.89,114.72,34.24,-1.25,6.95,259,31.36,24.41,1900,200,"Ying et al., 2011"
"53","Birds","Aramides cajanea","Rallidae","Gruiformes",374.3,30,38,NA,8,-6.12,-66.83,36.26,-8.7,58.66,5886,35.45,0,2300,0,"McNab and Ellis 2006"
"54","Birds","Gallinula mortierii","Rallidae","Gruiformes",954.4,15,35,NA,20,-41.87,146.48,22.9,-0.96,3.19,32,43.47,40.28,NA,NA,"McNab and Ellis 2006"
"55","Birds","Gallinula tenebrosa","Rallidae","Gruiformes",512.4,17,36,"1a",19,-20.94,140.76,38.88,-3.3,43.4,1977,43.47,0,NA,NA,"McNab and Ellis 2006"
"56","Birds","Gallinula ventralis","Rallidae","Gruiformes",309.2,20,40,"1a",20,-29.15,133.46,41.61,-2.88,28.64,2166,43.47,14.83,NA,NA,"McNab and Ellis 2006"
"57","Birds","Gallirallus australis","Rallidae","Gruiformes",813.5,30,38,"1a",8,-41.14,0.49,24.2,-3.14,12.22,47,47.25,35.02,1500,0,"McNab and Ellis 2006"
"58","Birds","Gallirallus owstoni","Rallidae","Gruiformes",198.8,29,38,NA,9,13.8,144.95,30.5,23,0.77,2,14.19,13.41,NA,NA,"McNab and Ellis 2006"
"59","Birds","Megacrex inepta","Rallidae","Gruiformes",856.6,18,35,"1a",17,-5.63,140.99,32.73,19.04,6.09,87,8.68,2.59,NA,NA,"McNab and Ellis 2006"
"60","Birds","Porphyrio hochstetteri","Rallidae","Gruiformes",2758.3,9,31,NA,22,-41.52,170.7,24.07,-3.14,9.54,18,46.29,36.75,NA,NA,"McNab and Ellis 2006"
"61","Birds","Porphyrio porphyrio","Rallidae","Gruiformes",919.3,14,38,"1a",24,0.32,0.04,46.15,-20.03,94.17,9258,47.41,0,2500,0,"McNab and Ellis 2006"
"62","Birds","Porzana cinerea","Rallidae","Gruiformes",47.9,28,37,NA,9,-1.51,0.04,39.04,6.93,42.31,2226,22.67,0,1830,0,"McNab and Ellis 2006"
"63","Birds","Alaemon alaudipes","Alaudidae","Passeriformes",37.7,32.7,37.5,NA,4.8,21.52,26.07,48.73,-13.54,30.76,4528,36.9,6.14,2000,0,"Tieleman et al., 2002"
"64","Birds","Eremalauda dunni","Alaudidae","Passeriformes",20.6,31.5,41,NA,9.5,23.07,20.02,47.38,0.04,21.63,1250,33.89,12.26,NA,NA,"Tieleman et al., 2002"
"65","Birds","Mirafra erythrocephala","Alaudidae","Passeriformes",27.3,27.9,35.1,NA,7.2,-24.68,15.41,31.02,2.22,4.02,34,26.69,22.67,900,0,"Williams 1999, Marschall and Prinzinger 1991"
"66","Birds","Cardinalis cardinalis","Cardinalidae","Passeriformes",41,29,42.6,NA,13.6,31.57,-112.84,41.81,-21.74,31.68,2713,47.41,15.74,2597,0,"Hinds and Calder 1973"
"67","Birds","Cardinalis sinuatus","Cardinalidae","Passeriformes",32,30,42.8,NA,12.8,27.59,-104.79,40.79,-11.28,14.31,723,34.74,20.43,2000,0,"Hinds and Calder 1973"
"68","Birds","Cnemophilus loriae","Cnemophilidae","Passeriformes",78.1,20,32,NA,12,-6.59,142.47,31.48,6.58,7.24,110,10.21,2.97,3000,1500,"McNab 2005"
"69","Birds","Coereba flaveola","Coerebidae","Passeriformes",10,25,35,NA,10,-2.83,-65.78,36.08,-5.36,60.13,4928,32.9,0,2400,1000,"Merola-Zwartjes 1998"
"70","Birds","Aphelocoma coerulescens","Corvidae","Passeriformes",78.72,12.4,24,NA,11.6,28.07,-81.53,33.46,5.37,4.91,50,30.53,25.62,NA,NA,"Mann 1983"
"71","Birds","Cyanocitta stelleri","Corvidae","Passeriformes",99.96,28,31.8,NA,3.8,37,-119.09,40.79,-28.44,48.71,1710,61.35,12.64,NA,NA,"Mann 1983"
"72","Birds","Pica nuttalli","Corvidae","Passeriformes",151.9,13.5,33.5,NA,20,37.6,-120.55,37.14,-8.47,6.57,64,40.88,34.32,NA,NA,"Hayworth and Weathers 1984"
"73","Birds","Pica pica","Corvidae","Passeriformes",158.9,21,32.5,NA,11.5,42.99,-0.08,46.33,-45.15,56.07,14067,71.03,14.96,NA,NA,"Hayworth and Weathers 1984"
"74","Birds","Amadina fasciata","Estrildidae","Passeriformes",17.2,31,38,NA,7,-4.59,15.41,42.82,-3.52,52.41,2131,30.8,0,1500,0,"Marschall and Prinzinger 1991"
"75","Birds","Erythrura gouldiae","Estrildidae","Passeriformes",15.5,31.7,38,NA,6.3,-15.42,133.42,39.04,11.68,5.82,84,18.33,12.51,NA,NA,"Burton and Weathers 2003"
"76","Birds","Estrilda melpoda","Estrildidae","Passeriformes",7.5,35,43,"2",8,10.42,-6.33,42.12,8.08,43.55,1907,32.2,0,NA,NA,"Marshall and Prinzinger 1991"
"77","Birds","Estrilda troglodytes","Estrildidae","Passeriformes",6.4,36,38,NA,2,9.08,10.7,42.12,5.63,18.4,1185,18.46,0,NA,NA,"Cade et al 1965, Weathers and Nagy 1984"
"78","Birds","Lonchura cucullata","Estrildidae","Passeriformes",10.6,33,38,"2",5,-9.22,13.87,40.87,-3.52,49.9,4244,34.17,0,2200,750,"Lovergrove and Smith 2003"
"79","Birds","Lonchura fuscans","Estrildidae","Passeriformes",9.5,30,39,NA,9,1.59,113.63,32.67,16.97,11.39,355,7.28,0,500,0,"Weathers 1977"
"80","Birds","Padda oryzivora","Estrildidae","Passeriformes",24.9,31,42,"2",11,-7.34,110.44,34.37,13.73,2.67,82,8.68,6.01,1500,0,"Marshal and Prinzinger 1991"
"81","Birds","Taeniopygia guttata","Estrildidae","Passeriformes",11.7,30,38,"2",8,-22.39,133.26,41.61,-1.54,30.47,2754,37.62,7.15,2300,0,"Calder 1964, Marshall and Prinzinger 1991 "
"82","Birds","Carpodacus mexicanus","Fringillidae","Passeriformes",20.4,22,33,"1a",11,33.89,-93.15,41.81,-20.84,33.97,3452,50.88,16.9,2000,0,"Weathers 1981, Dawson et al., 1985"
"83","Birds","Lanius collaris","Laniidae","Passeriformes",43.8,25,35,NA,10,-9.26,14.66,41.27,-3.58,51.53,3509,35.02,0,3350,0,"Soobramoney et al., 2003"
"84","Birds","Malurus cyaneus","Maluridae","Passeriformes",8.2,26,35,NA,9,-33.07,144.46,35.18,-3.3,20.8,618,43.47,22.67,NA,NA,"Lill et al., 2006, Weathers and Stiles 1989"
"85","Birds","Manacus vitellinus","Maluridae","Passeriformes",15.5,26,32,"2",6,5.96,-78.89,34.23,13.97,7.23,85,9.57,2.34,1200,0,"Bartholomew et al., 1983"
"86","Birds","Eremiornis carteri","Megaluridae","Passeriformes",12.3,30,39,NA,9,-21.73,130.28,41.61,2.4,9.92,867,26.69,16.77,NA,NA,"Ambrose et al., 1996"
"87","Birds","Lichenostomus virescens","Meliphagidae","Passeriformes",25,33,39,NA,6,-24.96,133.18,41.61,-3.3,27.97,3108,38.94,10.98,NA,NA,"Collins et al., 1980"
"88","Birds","Lichmera indistincta","Meliphagidae","Passeriformes",10.1,30,39,"1b",9,-20.14,133.32,41.61,-0.45,29.77,2342,35.02,5.25,NA,NA,"Vittali et al., 1999, Collins et al., 1980"
"89","Birds","Aethopyga christinae","Nectariniidae","Passeriformes",5.2,25,32,"2",7,21.69,111.52,34.91,-15.76,22.7,822,33.04,10.34,1400,0,"Prinzinger et al., 1989"
"90","Birds","Anthreptes collaris","Nectariniidae","Passeriformes",8.3,25,28,"2",3,-9.6,14.45,41.56,-3.49,49.13,4134,34.17,0,2600,0,"Prinzinger et al., 1989"
"91","Birds","Anthreptes orientalis","Nectariniidae","Passeriformes",11.8,25,32,"2",7,1.21,39.35,41.56,3.7,20.55,928,11.49,0,NA,NA,"Prinzinger et al., 1989"
"92","Birds","Nectarinia amethystina","Nectariniidae","Passeriformes",10,25,30,"2",5,-15.18,27.98,39.95,-3.52,38.83,1945,34.6,0,NA,NA,"Prinzinger et al., 1989, Seavy 2006 "
"93","Birds","Nectarinia bifasciata","Nectariniidae","Passeriformes",6.2,24,27,"2",3,-11.2,27.33,40.37,4.1,40.02,1265,31.22,0,NA,NA,"Prinzinger et al., 1989, Seavy 2006 "
"94","Birds","Nectarinia cuprea","Nectariniidae","Passeriformes",7.1,31,35,NA,4,-1.5,10.85,41.18,4.1,36.8,3575,19.9,0,NA,NA,"Lübben 1986, Seavy 2006"
"95","Birds","Nectarinia kilimensis","Nectariniidae","Passeriformes",16.2,25,32,"2",7,-8.98,26.34,34.72,4.35,22.63,380,20.29,0,235,1,"Seavy 2006, Prinzinger et al., 1989"
"96","Birds","Nectarinia senegalensis","Nectariniidae","Passeriformes",13.7,30,35,"2",5,-7.56,12.97,41.57,-3.52,48.15,4360,31.64,0,NA,NA,"Seavy 2006"
"97","Birds","Nectarinia tacazze","Nectariniidae","Passeriformes",13.5,25,31,NA,6,5.62,37.56,38.15,3.16,20.22,269,15.74,0,4200,1800,"Prinzinger et al., 1989, Lübben1986, Seavy 2006"
"98","Birds","Astrapia stephaniae","Paradisaeidae","Passeriformes",148.2,26,31,"1a",5,-7.54,146.29,32.1,7.24,5.34,53,10.21,4.87,3500,1280,"McNab 2005"
"99","Birds","Cicinnurus magnificus","Paradisaeidae","Passeriformes",82.3,20,33,"1a",13,-5.07,139.99,32.65,6.93,9.51,148,9.83,0.31,1780,0,"McNab 2005"
"100","Birds","Cicinnurus regius","Paradisaeidae","Passeriformes",54,20,33,"1a",13,-5.45,140.33,32.73,9.33,10.28,338,10.59,0.31,950,0,"McNab 2005"
"101","Birds","Epimachus meyeri","Paradisaeidae","Passeriformes",202.7,18,33,"1a",15,-6.59,142.47,31.48,6.58,7.24,109,10.21,2.97,3200,1500,"McNab 2005"
"102","Birds","Lophorina superba","Paradisaeidae","Passeriformes",74.6,19,32,"1a",13,-5.45,141.35,32.1,6.58,9.52,147,10.21,0.69,2300,1,"McNab 2005"
"103","Birds","Manucodia chalybatus","Paradisaeidae","Passeriformes",177.2,20,30,NA,10,-5.45,140.34,32.1,6.93,10.28,106,10.59,0.31,1700,0,"McNab 2005"
"104","Birds","Manucodia keraudrenii","Paradisaeidae","Passeriformes",170.7,25,29,"1a",4,-6.99,140.82,34.26,6.93,13.35,425,13.67,0.31,2000,900,"McNab 2005"
"105","Birds","Paradisaea raggiana","Paradisaeidae","Passeriformes",215.7,16,33,"1a",17,-7.73,146.03,32.49,7.24,5.72,144,10.59,4.87,1500,0,"McNab 2005"
"106","Birds","Paradisaea rudolphi","Paradisaeidae","Passeriformes",156.1,17,33,"1a",16,-7.16,145.4,32.1,6.58,4.57,57,9.44,4.87,2000,1100,"McNab 2005"
"107","Birds","Parotia lawesii","Paradisaeidae","Passeriformes",144.9,17,30,"1a",13,-7.35,145.4,32.1,6.58,4.96,61,9.83,4.87,2300,500,"McNab 2005"
"108","Birds","Parotia wahnesi","Paradisaeidae","Passeriformes",164.2,22,30,"1a",8,-5.63,146.49,30.41,9.33,2.28,16,6.77,4.49,1700,1100,"McNab 2005"
"109","Birds","Ptiloris magnificus","Paradisaeidae","Passeriformes",179.4,22,31,"1a",9,-6.99,140.59,34.26,7.66,13.35,369,13.67,0.31,1450,0,"McNab 2005"
"110","Birds","Parus atricapillus","Paridae","Passeriformes",10.3,25,32,NA,7,50.09,-107.11,35.34,-34.4,31.54,3976,65.86,34.32,3200,0,"Rising and Hudson 1974"
"111","Birds","Passer domesticus","Passeridae","Passeriformes",23,20,35,NA,15,43.57,0.02,45.55,-3.58,69.77,27875,34.74,35.02,NA,NA,"Hudson and Kimzey 1966"
"112","Birds","Pipra mentalis","Pipridae","Passeriformes",12.3,26,32,"2",6,8.56,-86.37,36.26,4.47,25.32,359,21.22,0,750,0,"Bartholomew et al., 1983"
"113","Birds","Sitta canadensis","Sittidae","Passeriformes",11.2,28,38,NA,10,41.04,-103.56,41.81,-33.57,44.37,5388,63.22,18.86,3075,275,"Mugaas and Templeton 1970"
"114","Birds","Onychognathus morio","Sturnidae","Passeriformes",128,15,30,"1a",15,-8.87,14.29,42.17,-3.58,52.31,2478,35.02,0,4000,0,"Chamane and Downs 2009"
"115","Birds","Onychognathus tristramii","Sturnidae","Passeriformes",123,21.5,36.5,"1a",15,23.23,44.42,42.21,1.3,19.63,323,33.04,13.41,NA,NA,"Dmi'el and Tel-Tzur 1985"
"116","Birds","Acridotheres cristatellus","Sturnidae","Passeriformes",117.7,25,32.5,"1a",7.5,19.01,65.53,34.91,-17.99,40.16,1509,39.1,0,NA,NA,"Lin et al., 2010"
"117","Birds","Hylophylax naevioides","Thamnophilidae","Passeriformes",16.1,30,34,NA,4,6.58,-80.36,34.87,4.31,19.09,240,16.12,0,1100,0,"Wiersma et al., 2007, Steiger et al., 2009"
"118","Birds","Cyanerpes cyaneus","Thraupidae","Passeriformes",13.5,25,35,NA,10,-0.13,-66.94,36.8,2.33,46.67,3855,23.47,0,2000,0,"Wiersma et al., 2007, Mata 2010"
"119","Birds","Sporophila corvina","Thraupidae","Passeriformes",11,28.9,39.2,NA,10.3,6.6,-86.44,35.47,2.95,22.94,325,18.07,0,1500,0,"Weathers 1997"
"120","Birds","Thryothorus ludovicianus","Troglodytidae","Passeriformes",14.9,27,35,NA,8,29.07,-85.79,38.36,-15.49,32.85,1476,45.5,12.64,2000,0,"Eberhardt 1994"
"121","Birds","Zosterops lateralis","Zosteropidae","Passeriformes",11.8,29,36.5,"1a",7.5,-32.25,0.04,38.33,-4.38,41.01,1391,52.76,11.74,NA,NA,"Maddocks and Gieser 1997, Weathers and Sttiles 1989"
"122","Birds","Trachyphonus darnaudii","Lybiidae","Piciformes",36.6,35,38,"1a",3,-0.13,38.28,41.56,3.79,16.34,729,8.3,0,2000,180,"McNab 2001"
"123","Birds","Aulacorhynchus prasinus","Ramphastidae","Piciformes",174.7,23,34,"1a",11,1.25,-82.23,37.26,-10.02,39.94,689,21.22,0,NA,NA,"McNab 2001"
"124","Birds","Aulacorhynchus sulcatus","Ramphastidae","Piciformes",131.7,23,31,NA,8,9.2,-67.85,34.59,6.81,3.82,71,11.11,7.28,2000,300,"McNab 2001"
"125","Birds","Pteroglossus aracari","Ramphastidae","Piciformes",200.7,29,35,"1a",6,-8.6,-50.78,36.06,5.39,38.63,1528,27.92,0,1000,0,"McNab 2001"
"126","Birds","Pteroglossus bailloni","Ramphastidae","Piciformes",133,19,34,"1a",15,-20.98,-47.96,32.56,4.35,13.86,336,27.92,14.05,1550,0,"McNab 2001"
"127","Birds","Ramphastos dicolorus","Ramphastidae","Piciformes",328.9,20,34,"1a",14,-23.97,-49.66,34.73,4.35,12.84,635,30.39,17.55,2070,100,"McNab 2001"
"128","Birds","Ramphastos toco","Ramphastidae","Piciformes",582,17,34,"1a",17,-11.34,-55.52,35.91,1.85,37.25,1948,29.97,0,1750,0,"McNab 2001"
"129","Birds","Ramphastos tucanus","Ramphastidae","Piciformes",420.3,25,35,"1a",10,-3.8,-60.78,36.08,-5.05,29.05,3111,18.33,0,1440,0,"McNab 2001"
"130","Birds","Selenidera maculirostris","Ramphastidae","Piciformes",130.5,24,34,"1a",10,-22.22,-47.45,32.4,4.35,16.33,447,30.39,14.05,NA,NA,"McNab 2001"
"131","Birds","Cacatua roseicapilla","Cacatuidae","Psittaciformes",271,22,33,NA,11,-27.22,133.32,41.61,-3.3,32.49,3278,43.47,10.98,NA,NA,"Dawson and Fisher 1982, Williams et al., 1991"
"132","Birds","Nestor meridionalis","Nestoridae","Psittaciformes",369.3,15,26,"2",11,-41.14,172.34,24.7,-3.64,12.22,112,47.25,35.02,NA,NA,"McNab and Salisbury 1995"
"133","Birds","Nestor notabilis","Nestoridae","Psittaciformes",836.9,5,28,NA,23,-43.51,170.27,22,-3.64,5.56,59,46.29,40.73,2000,600,"McNab and Salisbury 1995"
"134","Birds","Agapornis fischeri","Psittacidae","Psittaciformes",56.7,27.3,34,"2",6.7,-2.21,33.72,32.6,4.35,4.8,121,4.87,0,2200,1100,"Burton et al., 2008"
"135","Birds","Agapornis nigrigenis","Psittacidae","Psittaciformes",41.37,32,35,"2",3,-16.97,25.63,35.37,4.39,1.95,18,17.94,15.99,NA,NA,"Burton et al., 2008"
"136","Birds","Agapornis personatus","Psittacidae","Psittaciformes",46.77,28,34,"2",6,-5.63,35.14,32.76,7.86,6.09,106,8.68,2.59,1800,1100,"Burton et al., 2008"
"137","Birds","Agapornis roseicollis","Psittacidae","Psittaciformes",53.53,27.5,30.5,"2",3,-20.28,18.2,36.38,-0.98,19.38,264,29.97,10.59,1500,0,"Burton et al., 2008"
"138","Birds","Amazona viridigenalis","Psittacidae","Psittaciformes",341,26.5,35,"1a",8.5,23.03,-98.52,37.4,4.13,5.99,54,26.02,20.04,1200,0,"Bucher 1985"
"139","Birds","Bolborhynchus lineola","Psittacidae","Psittaciformes",55.7,28,32,NA,4,3.18,-83.82,35.62,-6.37,32.92,249,19.64,0,3300,600,"Bucher 1981"
"140","Birds","Cyanoramphus auriceps","Psittacidae","Psittaciformes",52.9,22,37,"1a",15,-41.35,171.95,23.91,-4.38,11.79,73,47.25,35.45,NA,NA,"McNab and Salisbury 1995"
"141","Birds","Cyanoramphus novaezelandiae","Psittacidae","Psittaciformes",56.1,22,37,"1a",15,-39.93,0.04,24.7,-4.38,21.56,171,50.7,29.15,NA,NA,"McNab and Salisbury 1995"
"142","Birds","Cyanoramphus unicolor","Psittacidae","Psittaciformes",129.4,18,35,"1a",17,-49.7,178.87,24.7,-4.38,0,1,49.7,49.7,NA,NA,"McNab and Salisbury 1995"
"143","Birds","Melopsittacus undulatus","Psittacidae","Psittaciformes",33.7,29,41,NA,12,-26.06,132.06,41.61,-1.61,24.01,2506,38.06,14.05,NA,NA,"Weathers and Schoenbaechler 1976; Buttemer et al., 1986"
